public_reference,name,primary_category,subcategory,address_line_1,postal_area,eircode,phone,email,website_url,description,status,source_type,verification_status,source_name,source_url,retrieved_date,review_notes
NAV-POI-000001,Dundrum Luas Stop,transport_stop,luas_stop,Dundrum,Dublin 14,,,,,Luas Green Line stop,active,official_source,verified,Luas,https://www.luas.ie/luas-green-line-stops/,2026-07-13,Coordinates pending structured geospatial import
NAV-POI-000002,Balally Luas Stop,transport_stop,luas_stop,Balally,Dublin 16,,,,,Luas Green Line stop,active,official_source,verified,Luas,https://www.luas.ie/luas-green-line-stops/,2026-07-13,Coordinates pending structured geospatial import
NAV-POI-000003,Kilmacud Luas Stop,transport_stop,luas_stop,Kilmacud,Dublin 18,,,,,Luas Green Line stop,active,official_source,verified,Luas,https://www.luas.ie/luas-green-line-stops/,2026-07-13,Coordinates pending structured geospatial import
NAV-POI-000004,Stillorgan Luas Stop,transport_stop,luas_stop,Stillorgan,Dublin 18,,,,,Luas Green Line stop,active,official_source,verified,Luas,https://www.luas.ie/luas-green-line-stops/,2026-07-13,Coordinates pending structured geospatial import
NAV-POI-000005,Sandyford Luas Stop,transport_stop,luas_stop,Sandyford,Dublin 18,,,,,Luas Green Line stop,active,official_source,verified,Luas,https://www.luas.ie/luas-green-line-stops/,2026-07-13,Coordinates pending structured geospatial import
NAV-POI-000006,Central Park Luas Stop,transport_stop,luas_stop,Central Park,Dublin 18,,,,,Luas Green Line stop,active,official_source,verified,Luas,https://www.luas.ie/stops/central-park/,2026-07-13,Coordinates pending structured geospatial import
NAV-POI-000007,Glencairn Luas Stop,transport_stop,luas_stop,Glencairn,Dublin 18,,,,,Luas Green Line stop,active,official_source,verified,Luas,https://www.luas.ie/luas-green-line-stops/,2026-07-13,Coordinates pending structured geospatial import
NAV-POI-000008,The Gallops Luas Stop,transport_stop,luas_stop,The Gallops,Dublin 18,,,,,Luas Green Line stop,active,official_source,verified,Luas,https://www.luas.ie/luas-green-line-stops/,2026-07-13,Coordinates pending structured geospatial import
NAV-POI-000009,Leopardstown Valley Luas Stop,transport_stop,luas_stop,Leopardstown,Dublin 18,,,,,Luas Green Line stop,active,official_source,verified,Luas,https://www.luas.ie/luas-green-line-stops/,2026-07-13,Coordinates pending structured geospatial import
NAV-POI-000010,Ballyogan Wood Luas Stop,transport_stop,luas_stop,Ballyogan,Dublin 18,,,,,Luas Green Line stop,active,official_source,verified,Luas,https://www.luas.ie/luas-green-line-stops/,2026-07-13,Coordinates pending structured geospatial import
